*Generic
Reference Type	Author	Year	Title	Secondary Title	Place Published	Pages	Number	Publisher	Volume	Secondary Author	Custom 1
Journal	Belizario VY, Amarillo MLE, Martinez RM, Mallari AO, Tai CM	2007	Resurgence of schistosomiasis japonicum in school children in Agusan del Sur, Philippines: opportunities for control in the school setting.	Acta Medica Philippina 		9-14	2		41		PHL0022
Journal	Belizario VY, Lariosa T, Pesigan A, Leonardia W and Llanto R	1995	The clinical epidemiology of lymphatic filariasis in an endemic village in Sorsogon	Acta Med Phil 1995		160-169	2		31		PHL0022LF
Journal	Belizario VY, Mataverde CP, De Leon WU, Esparar DG, Lucero AR	2007	Common intestinal helminthiasis in private elementary school children in two areas of Metro Manila.	Philippine Journal of Microbiology and Infectious Diseases		25-32	1-2		36		PHL0023
Journal	Hernandez LM and Go VM	1997	An epidemiologic survey of lymphatic filariasis in selected villages in Boac, Marinduque. 	Phil J Microbiol Infect Dis		147-152	4		26	World Health Organization, Geneva	PHL0023LF
Journal	Belizario VY, Plan AO, De Leon WU, Totanes FG, Ciro RT	2011	Impact of a local government unit supported school-based initiative for control of intestinal helminth infections	Acta Medica Philippina		18-23	2		45		PHL0024
Book	Kimura E, Rim HJ, Dejian S, Weerasooriya M 	2005	Filariasis in Asia and Western Pacific Islands					AAA Committee, Federation of Asian Parasitologists		The Federation of Asian Parasitologist	PHL0024LF
Journal	Belizario VY, Jr., Totanes FI, de Leon WU, Lumampao YF, Ciro RN	2011	Soil-transmitted helminth and other intestinal parasitic infections among school children in indigenous people communities in Davao del Norte, Philippines	Acta Trop		S12-18			120 Suppl 1		PHL0025
Report	Belizario VY, Reyes LM and Solon JA	1998	Rapid assessment methods for lymphatic filariasis in two municipalities in Sorsogon, Philippines. Final Report submitted to the Task Force on Applied Field Research, Special Programme for Rersearch and Training in Tropical Diseases.								PHL0025LF
Personal Communication	Belizario VY, Totanes FIG, Medina JRC	2011	Unpublished data. Progress and challenges of the War on Worms approach in controlling soil-transmitted helminth infections in school children in the first congressional district of Cavite					University of the Philippines Manila			PHL0026
Journal	Torres EP, Ramirez BL, Salazar F, Pasay MC, Alamares JG, Santiago ML and Hafalla JC	2001	Detection of bancroftian filariasis in human blood samples from Sorsogon province, the Philippines by polymerase chain reaction	Parasitol Res		677-679	8		87		PHL0026LF
Personal Communication	Belizario VY, Liwanag HJ, Naig JR	2012	Unpublished data. Give2Asia Report					University of the Philippines Manila			PHL0027
Journal	Ramirez BL, Hernandez L, Alberto FF, Collins M, Nfonsam V, Punsalan T and Kron MA	2004	Contrasting Wuchereria bancrofti microfilaria rates in two Mangyan-populated Philippine villages	Am J Trop Med Hyg		17-23	1		71		PHL0027LF
Personal Communication	Belizario VY, Marfori JRM, Chua PLC, Naig JRA	2013	Unpublished data					University of the Philippines Manila			PHL0028
Personal Communication	Belizario VY, Liwanag HJ, Naig JRA	2012	Unpublished data. War on Worms Western Visayas Interim Report.					University of the Philippines Manila			PHL0029
Personal Communication	Belizario VJ, Totanes FIG, De Leon WU, Naig JRA	2012	Unpublished data. Baseline prevalence survey of soil-transmitted helminth infections in adolescent females and pregnant women in selected local government units in the Philippines					University of the Philippines Manila			PHL0030
Journal	Tarafder MR, Carabin H, McGarvey ST, Joseph L, Balolong E, Jr., Olveda R, Funding source: Ecology and Transmission of S. japonicum in The Philippines. NIH Grant TW01582 in the NIH/NSF Ecology of Infectious Diseases Program. PI: ST McGarvey	2011	Assessing the impact of misclassification error on an epidemiological association between two helminthic infections. 	PLoS Negl Trop Dis		e995	3		5		PHL0031
Journal	Leonardo, L. R.; Rivera, P.; Saniel, O.; Villacorte, E.; Crisostomo, B.; Hernandez, L.; Baquilod, M.; Erce, E.; Martinez, R.; Velayudhan, R.	2008	Prevalence survey of schistosomiasis in Mindanao and the Visayas, The Philippines	Parasitol Int	""	246-251	3	""	57	""	PHL0032
Journal	Belizario, V., Jr.; Chua, P. L.; Liwanag, H. J.; Naig, J. R.; Erfe, J. M.	2014	Soil-transmitted helminthiases in secondary school students in selected sites in two provinces in the Philippines: policy implications	J Trop Pediatr	""	303-307	4	""	60	""	PHL0033
Journal	Horiuchi, S., Paller, V. G., Uga, S.,	2013	Soil contamination by parasite eggs in rural village in the Philippines	Trop Biomed	""	495-503	3	""	30	""	PHL0035
Journal	Ross, A. G. Olveda, R. M. Chy, D. Olveda, D. U. Li, Y. Harn, D. A. Gray, D. J. McManus, D. P. Tallo, V. Chau, T. N. Williams, G. M.	2015	Can mass drug administration lead to the sustainable control of schistosomiasis?	J Infect Dis	""	283-289	2	""	211	""	PHL0037
Journal	Papier, K. Williams, G. M. Luceres-Catubig, R. Ahmed, F. Olveda, R. M. McManus, D. P. Chy, D. Chau, T. N. Gray, D. J. Ross, A. G.	2014	Childhood malnutrition and parasitic helminth interactions	Clin Infect Dis	""	234-43	2	""	59	""	PHL0038
Book	Sasa M	1976	Human filariasis. A global survey of epidemiology and control		Baltimore			University Park Press			PLW0001LF
GAELF report	WHO	2005	Global Programme to Eliminate Lymphatic Filariasis. Annual Report on Lymphatic Filariasis 2003							Centers for Disease Control and Prevention	PLW0002LF
Journal	Quinnell RJ, Griffin J, Nowell MA, Raiko A, Pritchard DI	2001	Predisposition to hookworm infection in Papua New Guinea	Trans R Soc Trop Med Hyg		139-142	2		95		PNG0001
Journal	Labiano-Abello N, Canese J, Velazquez ME, Hawdon JM, Wilson ML, Hotez PJ	1999	Epidemiology of hookworm infection in Itagua, Paraguay: a cross sectional study	Memorias do Instituto Oswaldo Cruz		583-586	5		94		PRY0003
Journal	Hughes RG, Sharp DS, Hughes MC, Akau'ola S, Heinsbroek P, Velayudhan R, Schulz D, Palmer K, Cavalli-Sforza T, Galea G	2004	Environmental influences on helminthiasis and nutritional status among Pacific schoolchildren	Int J Environ Health Res		163-177	3		14		PYF0001
Journal	Kessel JF, Thooris GC and Bambridge B	1953	The use of diethylcarbamazine (hetrazan or notezine) in Tahiti as an aid in the control of filariasis	Am J Trop Med Hyg		1050-1061	6		2		PYF0001LF
Journal	March HN, Laigret J, Kessel JF and Bambridge B	1960	Reduction in the prevalence of clinical filariasis in Tahiti following adoption of a control program	Am J Trop Med Hyg		180-184			9		PYF0002LF
Journal	Kessel JF and Massal E	1962	Control of bancroftian filariasis in the Pacific	Bull World Health Organ		543-554			27		PYF0003LF
Journal	Laigret J, Kessel JF, Bambrideg B and Adams H	1966	[11-years of chemoprophylaxis of non-periodic lymphatic filariasis with diethylcarbamazine in Tahiti]	Bull World Health Organ		925-938	6		34		PYF0004LF
Journal	Kessel JF	1971	A review of the filariasis control programme in Tahiti from November 1967 to January 1968	Bull World Health Organ		783-794	6		44		PYF0005LF
Journal	Outin-Fabre D, Saugrain J, Stanghellini A and Pichon G	1972	[Pilot study of a campaign against filariasis in an insular environment (Moorea, French Polynesia)]	Bull World Health Organ		253-256	2		46		PYF0006LF
Journal	Kaeuffer H, Pichon G, Carme B and Merlin M	1976	[Evolution of filarial hemagglutinating antibodies 1 year after a single dose of diethylcarbamazine]	Bull Soc Pathol Exot Filiales		342-347	4		69		PYF0007LF
Journal	Laigret J, Fagneaux G and Tuira E	1980	[Mass chemotherapy with spaced doses of diethylcarbamazine: effects in Tahiti on microfilaraemia due to Wuchereria bancrofti var. pacifica]	Bull World Health Organ		779-783	5		58		PYF0008LF
Journal	Nguyen NL, Moulia-Pelat JP, Glaziou P, Martin PM and Cartel JL	1994	Advantages of ivermectin at a single dose of 400 micrograms/kg compared with 100 micrograms/kg for community treatment of lymphatic filariasis in Polynesia	Trans R Soc Trop Med Hyg		461-464	4		88		PYF0009LF
Journal	Williams SA, Nicolas L, Lizotte-Waniewski M, Plichart C, Luquiaud P, Nguyen LN and Moulia-Pelat JP	1996	A polymerase chain reaction assay for the detection of Wuchereria bancrofti in blood samples from French Polynesia	Trans R Soc Trop Med Hyg		384-387	4		90		PYF0010LF
Journal	Nicolas L, Plichart C, Nguyen LN and Moulia-Pelat JP	1997	Reduction of Wuchereria bancrofti adult worm circulating antigen after annual treatments of diethylcarbamazine combined with ivermectin in French Polynesia	J Infect Dis		489-492	2		175		PYF0011LF
Journal	Esterre P, Plichart C, Sechan Y and Nguyen NL	2001	The impact of 34 years of massive DEC chemotherapy on Wuchereria bancrofti infection and transmission: the Maupiti cohort	Trop Med Int Health		190-195	3		6		PYF0012LF
Report	WHO	2007	WHO country report					World Health Organization		World Health Organization	PYF0014LF
Journal	Hanotier J, Gigase PL	1981	Note on a new focus of schistosomiasis (S. mansoni) in Rwanda	Societe de la Belge Medicine Tropicale		93-98	1		61		RWA0001
Journal	Niyizurugero, E. Ndayanze, J. B. Bernard, K.	2013	Prevalence of intestinal parasitic infections and associated risk factors among Kigali Institute of Education students in Kigali, Rwanda	Trop Biomed	""	718-26	4	""	30	""	RWA0004
Journal	Qadri MH, Alghamdi MA, Guimaa MH, Alharfi RA	1992	Parasitic Infections among School-Age-Children 6 to 11-Years-of-Age in the Eastern Province	Annals of Saudi Medicine		415-417	4		12		SAU0001
Journal	Alballaa SR, Alsekeit M, Alballa SR, Alrashed RS, Alhedaithy MA, Almazrou AM	1993	Prevalence of Pathogenic Intestinal Parasites among Preschool-Children in Al-Medina District, Saudi-Arabia	Annals of Saudi Medicine		259-263	3		13		SAU0002
Journal	Aleissa YA, Assuhaimi SA, Abdullah AMA, Abobakr AM, Alhusain MA, Alnasser MN, Alborno MK	1995	Prevalence of Intestinal Parasites in Saudi Children - a Community-Based Study	Journal of Tropical Pediatrics		47-49	1		41		SAU0003
Journal	Al-Shammari S, Khoja T, El-Khwasky F, Gad A	2001	Intestinal parasitic diseases in Riyadh, Saudi Arabia: prevalence, sociodemographic and environmental associates	Trop Med Int Health		184-189	3		6		SAU0004
Journal	Taha A, Al-Amin H, Sohaibani M, Ali M, Al-Umran K	1992	Prevalence and manifestations of intestinal parasites in urban school children - Eastern Province, Saudi Arabia.	Journal of Tropical Medicine		85-88	4		1		SAU0005
Journal	Al-Mohammed HI, Amin TT, Aboulmagd E, Hablus HR, Zaza BO	2010	Prevalence of intestinal parasitic infections and its relationship with socio-demographics and hygienic habits among male primary schoolchildren in Al-Ahsa, Saudi Arabia	Asian Pacific Journal of Tropical Medicine		906-912	11		3		SAU0006
Journal	Ghandour AM, Zahid NZ, Banaja AA	1999	Epidemiological study on the transmission of schistosomiasis in Saudi Arabia (western region)	Ann Trop Med Parasitol		193-195	2		93		SAU0007
Journal	Eltoum IA, Ghalib HW, Gadir A-FA, Suliaman SM, Homeida MMA	1991	Lack of association between schistosomiasis and Hepatitis B virus infection in Gezira-Managil area, Sudan	Transactions of the Royal Society of Tropical Medicine and Parasitology		81-82	1		85		SDN0001
Journal	Abdalla RE	1974	Filariasis in The Sudan	Trans R Soc Trop Med Hyg		53-55	1		68		SDN0001LF
Journal	Babiker SM, Blankespoor HD, Wassila M, Fenwick A, Daffalla AA	1985	Transmission of Schistosoma haematobium in North Gezira, Sudan	Journal of Tropical Medicine and Hygiene		65-73	2		88		SDN0002
Journal	Satti MH and Abdel Nur OM	1974	Bancroftian filariasis in the Sudan	Bull World Health Organ		314-315	3		51		SDN0002LF
Journal	Ahmed AM, Abbas H, Mansour FA, Gasim GI, Adam I	2012	Schistosoma haematobium infections among schoolchildren in central Sudan one year after treatment with praziquantel	Parasit Vectors		108			5		SDN0004
Journal	Fenwick A, Cheesmond AK, Kardaman M, Amin MA, Manjing BK	1982	Schistosomiasis among labouring communities in the Gezira irrigated area, Sudan	Journal of Tropical Medicine and Hygiene		3-11	1		85		SDN0005
Journal	Friis H, el Karib SA, Sulaiman SM, Rahama A, Magnussen P, Mascie-Taylor CG	2000	Does Schistosoma haematobium co-infection reduce the risk of malaria-induced splenomegaly?	Trans R Soc Trop Med Hyg		535-536	5		94		SDN0006
Journal	Hilali AHM, Madsen H, Daffalla AA, Wassila M, Christensen NO	1995	Infection and transmission pattern of Schistosoma mansoni in the Managil irrigation scheme, Sudan	Annals of Tropical Medicine and Parasitology		279-286	3		89		SDN0007
Journal	Ahmed AAM, Afifi AA, Malik EM, Adam I	2010	Intestinal protozoa and intestinal helminthic infections among schoolchildren in Central Sudan	Asian Pacific Journal of Tropical Medicine		292-293	4		3		SDN0008
Journal	Eltayeb, N. M. Mukhtar, M. M. Mohamed, A. B.	2013	Epidemiology of schistosomiasis in Gezira area Central Sudan and analysis of cytokine profiles	Asian Pac J Trop Med	""	119-25	2	""	6	""	SDN0016
Journal	Alfidja AT, Badiane M, Mbaye A, Dial Y, Richter J, Ba Diop S	2004	Sonographic evaluation of periportal fibrosis in children living in a Schistosoma mansoni endemic region	J Radiol		763-767	6 Pt 1		85		SEN0001
Journal	Pfister R	1954	[Results of an inquiry on microfilaria carriers in French West Africa]	Bull Soc Pathol Exot Filiales		408-411	3		47		SEN0001LF
Journal	Cisse F, Diallo S, Dieng Y	1983	Bilan actuel de la bilharziose urinaire chez les populations riveraines du lac de Guiers (nord du Senegal). / Current status of urinary schistosomiasis in the riverine population of the lake of Guiers (north Senegal)	Dakar Medical		343-350	2		28		SEN0002
Journal	Mc FJ	1954	Filariasis in Gambla and Casamance, West Africa	Trans R Soc Trop Med Hyg		267-273	3		48		SEN0002LF
Journal	de Clercq D, Vercruysse J, Sene M, Seck I, Sall CS, Ly A, Southgate VR	2000	The effects of irrigated agriculture on the transmission of urinary schistosomiasis in the Middle and Upper Valleys of the Senegal River basin	Ann Trop Med Parasitol		581-590	6		94		SEN0003
Book	Sasa M	1976	Human filariasis. A global survey of epidemiology and control		Baltimore			University Park Press			SEN0003LF
Journal	de Clercq D, Vercruysse J, Kongs A, Verle P, Dompnier JP, Faye PC	2002	Efficacy of artesunate and praziquantel in Schistosoma haematobium infected schoolchildren	Acta Trop		61-66	1		82		SEN0004
Journal	Hocquet P, Lariviere M, Camerlynck P and Diallo S	1964	[Contribution to the Distribution of Human Filariasis in Senegal: Surveys in the Damantan Region (East Senegal) the Coastal Region of the Casamance]	Bull Soc Med Afr Noire Lang Fr		398-405			9		SEN0004LF
Journal	de Clercq D, Vercruysse J, Verle P, Kongs A, Diop M	2000	What is the effect of combining artesunate and praziquantel in the treatment of Schistosoma Mansoni infections?	Tropical Medicine & International Health		744-746	10		5		SEN0005
Journal	Juminer B, Diallo S and Diagne S	1971	A focus of filariasis in Sandiara (Senegal). Endemicity	Archives de lÕ Institut Pasteur de Tunis		231-246	3		48		SEN0005LF
Journal	de Clercq D, Hanne C, Vercruysse J	2000	Selected chemotherapy and seasonally transmitted Schistosoma haematobium infections in the middle valley of the Senegal River Basin	Trans R Soc Trop Med Hyg		198-199	2		94		SEN0006
Journal	Diallo S, Sarr M, Coulibaly A, Diouf M and Diagne S	1977	[Comparative study of technics of detection of Wuchereria bancrofti lymphatic filariasis]	Bull Soc Med Afr Noire Lang Fr		146-153	2		22		SEN0006LF
Journal	Gaye O, Ndir O, Kane A, Belmachi R, Ndiaye M, Diouf M, Diedhiou M, Diallo S	1994	Parasitoses intestinales et teignes du cuir chevelu en milieu scolaire Dakarois: influence des facteurs environnementaux sur les niveaux d'infestation. / Intestinal parasitic diseases and tinea of the scalp in Dakar school population: influence of environmental factors on the infestation level	Dakar Medical		57-61	1		39		SEN0007
Journal	Diallo S, Sarr M, Victorius A, Diongue S and Badji B	1978	[Transmission of Wuchereria bancrofti in the coastal Sahelo-Souadienne zone (little Senegalese coast)]	Bull Soc Med Afr Noire Lang Fr		128-140	2		23		SEN0007LF
Journal	Gaye O, Diallo S, Ndir O, Diaw OT, Diof M, Ndiaye AA, Faye O	1991	Bilharziose intestinale dans la commune de Richard Toll: aspects epidemiologiques et retentissements cliniques. / Intestinal schistosomiasis in the Richard-Toll area: epidemiological aspects and clinical assessments	Medecine d'Afrique Noire		732-734	11		38		SEN0008
Report	Ndir O, Faye O, Dieng Y, Dieng T, Diallo S	1996	National study of bilharzia in Senegal							University of Cheikh Anta Diop of Senegal, Dakar	SEN0009
Journal	Rognon X, Sarr A	1989	Etude statistique de la bilharziose urinaire en milieu scolaire urbain a Ziguinchor (Senegal). / Statistical study of urinary schistosomiasis in an urban school environment in Ziguinchor, Senegal	Medecine d'Afrique Noire		439-440	5		36		SEN0011
Journal	Salem G, Velden Lvd, Laloe F, Maire B, Ponton A, Traissac P, Prost A, Van de Velden L	1994	Parasitoses intestinal  and environment in Sahelo-Sudanian towns: the case of Pikine (Senegal). / Parasitoses intestinales et environnement dans les villes Sahelo Soudaniennes: l'exemple de Pikine (Senegal).	Revue d'Epidemiologie et de Sante Publique		322-333	4		42		SEN0012
Journal	Stelma FF, Talla I, Verle P, Niang M, Gryseels B	1994	Morbidity due to heavy schistosoma mansoni infections in a recently established focus in northern senegal	American Journal of Tropical Medicine and Hygine		575-579	5		50		SEN0013
Journal	Talla I, Kongs A, Verle P	1992	Preliminary study of the prevalence of human schistosomiasis in Richard-Toll (the Senegal river basin)	Transactions of the Royal Society of Tropical Medicine and Hygiene		182	2		86		SEN0014
Journal	Verle P, Stelma F, Desreumaux P, Dieng A, Diaw O, Kongs A, Niang M, Sow S, Talla I, Sturrock RF, et al	1994	Preliminary study of urinary schistosomiasis in a village in the delta of the Senegal river basin, Senegal	Transactions of the Royal Society of Tropical Medicine and Hygiene		401-405	4		88		SEN0015
Journal	Courtin D, Djilali-Saiah A, Milet J, Soulard V, Gaye O, Migot-Nabias F, Sauerwein R, Garcia A, Luty AJ	2011	Schistosoma haematobium infection affects Plasmodium falciparum-specific IgG responses associated with protection against malaria	Parasite Immunol		124-131	2		33		SEN0016
Journal	Webster BL, Diaw OT, Seye MM, Faye DS, Stothard JR, Sousa-Figueiredo JC, Rollinson D	2013	Praziquantel treatment of school children from single and mixed infection foci of intestinal and urogenital schistosomiasis along the Senegal River Basin: Monitoring treatment success and re-infection patterns	Acta Trop							SEN0017
Report	Ndir O, Diallo S, Gaye O, Faye O, Bah IB, Dieng Y, Dieng T	1998	Bilharzioses et parasitoses intestinales. Etude de la prevalence dans la zone de Richard-Toll		Dakar					ORSTOM	SEN0018
Report	Parent G, Benefice E, Schneider D, Chevassus-Agnes S	1982	Enquete sur l'Epidemiologie de la Bilharziose Urinaire et Etude Sero-Epidemiologique du Paludisme et des Treponematoses dans un Systeme Pastoral Amenage		Dakar					ORSTOM	SEN0019
Report	Ndir O, Diallo S, Gaye O, Faye O, Bah IB, Dieng Y, Dieng T	1998	Bilharzioses et parasitoses intestinales. Etude de la prevalence dans le perimetre de Diomandou		Dakar					ORSTOM	SEN0020
Journal	Ernould JC, Ba K, Sellin B	1999	Increase of intestinal schistosomiasis after praziquantel treatment in a Schistosoma haematobium and Schistosoma mansoni mixed focus	Acta Trop		143-152	2		73		SEN0021
Journal	Meurs L, Mbow M, Vereecken K, Menten J, Mboup S, Polman K	2012	Epidemiology of mixed Schistosoma mansoni and Schistosoma haematobium infections in northern Senegal	Int J Parasitol		305-311	3		42		SEN0022
Personal Communication	Talla I, Ortu G	2013	Unpublished data contributed by authors								SEN0023
Report	Schistosomiasis Control Initiative, Ortu G	2013	Compiled historical data for mapping excercise								SEN0024
Report	Ministry of Health	2012	Treatment Impact Surveys								SEN0025
Report	Organisation pour la mise en valeur du fleuve Senegal	2010	Evaluation de l'impact de la lutte contre les schistosomiases dans les sites sentinelles du bassin du fleuve Senegal. 								SEN0026
Journal	Hughes RG, Sharp DS, Hughes MC, Akau'ola S, Heinsbroek P, Velayudhan R, Schulz D, Palmer K, Cavalli-Sforza T, Galea G	2004	Environmental influences on helminthiasis and nutritional status among Pacific schoolchildren	Int J Environ Health Res		163-177	3		14		SLB0001
Journal	Schlosser RJ	1945	Observations on the incidence of Wuchereria bancrofti larvae in the native population of the Solomon Islands area	Am J Trop Med Hyg		493-495			25		SLB0001LF
Journal	Webber RH	1977	The natural decline of Wuchereria bancrofti infection in a vector control situation in the Solomon Islands	Trans R Soc Trop Med Hyg		396-400	5		71		SLB0002LF
Report	WHO	2007	WHO country report					World Health Organization		World Health Organization	SLB0004LF
Journal	Gbakima AA	1994	Inland valley swamp rice development: malaria, schistosomiasis, onchocerciasis in south central Sierra Leone	Public Health		149-157	2		108		SLE0001
Journal	Hawking F	1977	The distribution of human filariasis throughout the world. Part III. Africa	Trop Dis Bull		649-679	8		74		SLE0001LF
Journal	White PT, Gbakima AA, Amara SV	1989	Schistosoma mansoni in Sierra Leone: an invader extending its range?	Annals of Tropical Medicine and Parasitology		191-193	2		83		SLE0002
Journal	Hawking F	1957	The distribution of Bancroftian filariasis in Africa	Bull World Health Organ		581-592	3		16		SLE0002LF
Journal	Gbakima AA and Sahr F	1996	Filariasis in the Kaiyamba Chiefdom, Moyamba District Sierra Leone: an epidemiological and clinical study	Public Health		169-174	3		110		SLE0003LF
Journal	Koroma JB, Peterson J, Gbakima AA, Nylander FE, Sahr F, Soares Magalhaes RJ, Zhang Y, Hodges MH	2010	Geographical distribution of intestinal schistosomiasis and soil-transmitted helminthiasis and preventive chemotherapy strategies in Sierra Leone	PLoS Negl Trop Dis		e891	11		4		SLE0004
Journal	Winkler, M. S. Knoblauch, A. M. Righetti, A. A. Divall, M. J. Koroma, M. M. Fofanah, I. Turay, H. Hodges, M. H. Utzinger, J.	2014	Baseline health conditions in selected communities of northern Sierra Leone as revealed by the health impact assessment of a biofuel project	Int Health	""	232-241	""	""	6	""	SLE0006
Journal	Corrales	2006	Association between intestinal parasitic infections and type of sanitation system in rural El Salvador	Tropical medicine & international health		1821-1831	12		11		SLV0001
Journal	Bianchini C, Ilardi I, Petracca C, Aceti A	1981	Parasitological findings in the course of an enterocolitis epidemic in a village in the Jowhar district, Somalia	Parassitologia		122-124	1-3		23		SOM0001
Journal	Ilardi I, Sebastiani A, Leone F, Madera A, Khalif Bile M, Shiddo SC, Mohamed HH, Amiconi G	1987	Epidemiological study of parasitic infections in Somali nomads	Transactions of the Royal Society of Tropical Medicine and Hygiene		771-772	5		81		SOM0002
Journal	Ilardi I, Shiddo SC, Mohamed HH, Mussa C, Hussein AS, Mohamed CS, Bile KM, Sebastiani A, Bianchini C, Sanguini S, et al	1987	The prevalence and intensity of intestinal parasites in two Somalian communities	Transactions of the Royal Society of Tropical Medicine and Hygiene		336-338	2		81		SOM0003
Journal	Ilardi I, Petracca C, Cappelli A, Pelle P, Farah AH	1980	Epidemiological investigation, using direct and immunodiagnostic methods, of parasitic infections of residents of a Somali village in an irrigation area	Parassitologia		141-148	1-2		22		SOM0004
Journal	Ilardi I, Bile K, Petracca C, Pelle P, Becagli MP, Bianchini C, Aceti A	1981	Parasitological investigation using direct and immunodiagnostic methods in a Somalian village	Parassitologia		191-193	1-3		23		SOM0005
Journal	Ilardi I, Khalif B, Bianchini G, Sanguigni S, Aceti A, Paparo BS, Marangi M, Amiconi G, Pennica A, Tessitore S, Leone F	1985	An epidemiological investigation of the parasitological diseases in a community of fishermen in Somalia using a direct method and immunodiagnosis	Giornale di Malattie Infettive e Parassitarie		251-253	1-3		37		SOM0006
Journal	Ilardi I, Khalif B, Bianchini C, Sanguigni S, Aceti A, Paparo BS, Marangi M, Leone F, Di Piramo D, Cali S, et al	1985	An epidemiological survey on parasitological diseases by means of a direct and an immunodiagnostic method in a boys' boarding-school in Somalia	Giornale di Malattie Infettive e Parassitarie		248-250	1-3		37		SOM0007
Journal	Ilardi I, Shiddo SC, Hussein AS, Hassan H, Mohamed HH, Bile K, Sebastinai A, Bianchini G, Amiconi G	1986	Epidemiologic survey of intestinal parasitoses in a closed community in Somalia: prevalence of Trichuris trichiura, Ancylostoma and Giardia intestinalis	Annali Istituto Superiore di Sanita		273-276	1		22		SOM0008
Journal	Marangi M, Meledandri M, Shukri AS, Habdullhai SH, De Gregorio CG, Cultrera R, Gabrielli A, Fratto N, Bianchini C, Catalini N, Sanguigni S	1988	La schistosomiasi in Somalia- Schistosomiasis in Somalia	Giornale di Malattie Infettive e Parassitarie		832-834	8		40		SOM0009
Journal	Peltola H, Kataja M, Mohamed ON, Kyronseppa H	1988	Intestinal parasitism of children and mothers in rural Somalia	Pediatric Infectious Disease Journal		488-492	7		7		SOM0010
Journal	Sturrock HJ, Picon D, Sabasio A, Oguttu D, Robinson E, Lado M, Rumunu J, Brooker S and Kolaczinski JH	2009	Integrated mapping of neglected tropical diseases: epidemiological findings and control implications for northern Bahr-el-Ghazal State, Southern Sudan	PLoS Negl Trop Dis		e537	10		3		SSD0001LF
Journal	Deganello R, Cruciani M, Beltramello C, Duncan O, Oyugi V, Montresor A	2007	Schistosoma hematobium and S. mansoni among children, Southern Sudan	Emerg Infect Dis		1504-1506	10		13		SSD0002
Country report	South Sudan Ministry of Health	2008	Neglected Tropical Diseases and their control in Southern Sudan, Ministry of Health					South Sudan Ministry of Health		South Sudan Ministry of Health	SSD0002LF
Journal	Magambo JK, Zeyhle E, Wachira TM	1998	Prevalence of intestinal parasites among children in southern Sudan	East African Medical Journal		288-290	5		75		SSD0008
Journal	Marnell F, Guillet A, Holland C	1992	A survey of the intestinal helminths of refugees in Juba, Sudan	Annals of Tropical Medicine and Parasitology		387-393	4		86		SSD0009
Journal	Lobo, M. L. Augusto, J. Antunes, F. Ceita, J. Xiao, L. Codices, V. Matos, O.	2014	Cryptosporidium spp., Giardia duodenalis, Enterocytozoon bieneusi and other intestinal parasites in young children in Lobata province, Democratic Republic of Sao Tome and Principe	""	""	""	""	""	""	""	STP0001
Journal	Romero R, Corachan M, Luis M	1989	Schistosomiasis in Sao Tome. A pilot study	Trans Roy Soc Trop Med Hyg		81-82			83		STP0002
Journal	Ripert C, Neves I, Appriou M, Tribouley J, Tribouley-Duret J, Haumont G, Guy M, Trouv B	1996	[Epidemiology of certain endemic parasitic diseases in the town of Guadalupe (Republic of Sao Tome and Principe). II. Other endemic parasitic diseases]	Bull Soc Pathol Exot		259-261	4		89		STP0003
Journal	Belo S, Rompao H, Goncalves L, Gracio MAA	2005	Prevalence, behavioural and social factors associated wtih Schistosoma intercalatum and geohelminth infections in Sao Tome and Principe	Parassitologia		227-231			47		STP0004
Journal	Almeda J, Corachan M, Sousa A, Ascaso C, Carvalho JM, Rollinson D, Southgate VR	1994	Schistosomiasis in teh Republic of Sao Tome and Principe: human studies	Trans Roy Soc Trop Med Hyg		406-409			88		STP0005
Journal	Chu, T. Liao, C. Huang, Y. Chang, Y. Costa, A. Ji, D. Nara, T. Tsubouchi, A. Chang, P. W. Chiu, W. Fan, C.	2012	Prevalence of Schistosoma intercalatum and S. haematobium Infection among Primary Schoolchildren in Capital Areas of Democratic Republic Of Sao Tome and Principe, West Africa	Iran J Parasitol	""	67-72	1	""	7	""	STP0007
Journal	Jozefzoon LME, Oostburg BFJ	2004	Detection of hookworm and hookwoprm-like larvae in human fecocultures in Suriname	Am J Trop Med Hyg		 501-505	4		51		SUR0002
Journal	Chu TB, Liao CW, D'Lamini P, Chang PW, Chiu WT, Du WY, Fan CK	2010	Prevalence of Schistosoma haematobium infection among inhabitants of Lowveld, Swaziland, an endemic area for the disease	Trop Biomed		337-342	2		27		SWZ0001
Journal	Albonico M, Shamlaye N, Shamlaye C, Savioli L	1996	Control of intestinal parasitic infections in Seychelles: a comprehensive and sustainable approach	Bull World Health Organ		577-586	6		74		SYC0001
Journal	Lambrecht FL	1971	Preliminary report on the distribution and epidemiology of filariasis in the Seychelles Islands, Indian Ocean	Southeast Asian J Trop Med Public Health		222-232	2		2		SYC0001LF
Journal	Hawking F	1977	The distribution of human filariasis throughout the world. Part III. Africa	Trop Dis Bull		649-679	8		74		TCD0001LF
Journal	Gigase PL, Mangelschots E, Bockaert R, Autier P, Kestens L	1988	Indicateurs simples de la prevalence et de l'intensite de la bilharziose urinaire au Tchad	Annales de la Societe de belge Medecine Tropicale		123-132			68		TCD0002
